Title:,"Time Series, Area-Averaged of CO Emission (ENSEMBLE) monthly 0.5 x 0.625 deg. [MERRA-2 Reanalysis (monthly)"
User Start Date:,2003-12-01T00:00:00Z
User End Date:,2023-12-31T23:59:59Z
User Bounding Box:,"-125.3272,37.0385,-117.0655,42.4878"
Data Bounding Box:,
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2003-12-01T00:00:00Z&endtime=2023-12-31T23:59:59Z&shape=tl_2014_us_state/shp_13&bbox=-125.3272,37.0385,-117.0655,42.4878&data=M2TMNXCHM_5_12_4_COEM&dataKeyword=co&portal=GIOVANNI&format=json"
Fill Value (mean_M2TMNXCHM_5_12_4_COEM):, 1000000000000000
first,second
time, mean_M2TMNXCHM_5_12_4_COEM
12/1/03 0:00,4.49988213e-10
1/1/04 0:00,4.46445131e-10
2/1/04 0:00,4.47430648e-10
3/1/04 0:00,4.48918291e-10
4/1/04 0:00,4.7231713e-10
5/1/04 0:00,5.41489631e-10
6/1/04 0:00,6.43062492e-10
7/1/04 0:00,7.3623635e-10
8/1/04 0:00,6.91943225e-10
9/1/04 0:00,5.8097982e-10
10/1/04 0:00,5.07330344e-10
11/1/04 0:00,4.31094549e-10
12/1/04 0:00,4.04908079e-10
1/1/05 0:00,4.00548872e-10
2/1/05 0:00,4.01005812e-10
3/1/05 0:00,4.00221911e-10
4/1/05 0:00,4.25329438e-10
5/1/05 0:00,4.94680075e-10
6/1/05 0:00,5.92548122e-10
7/1/05 0:00,6.60311861e-10
8/1/05 0:00,5.8081312e-10
9/1/05 0:00,5.01860442e-10
10/1/05 0:00,4.19292767e-10
11/1/05 0:00,3.83308552e-10
12/1/05 0:00,3.73125225e-10
1/1/06 0:00,3.72810616e-10
2/1/06 0:00,3.76129072e-10
3/1/06 0:00,3.78472642e-10
4/1/06 0:00,4.08227174e-10
5/1/06 0:00,4.79409679e-10
6/1/06 0:00,5.90348492e-10
7/1/06 0:00,7.31428806e-10
8/1/06 0:00,7.27283012e-10
9/1/06 0:00,7.73107856e-10
10/1/06 0:00,4.73550865e-10
11/1/06 0:00,3.7456821e-10
12/1/06 0:00,3.61081526e-10
1/1/07 0:00,3.60694946e-10
2/1/07 0:00,3.6407799e-10
3/1/07 0:00,3.68176128e-10
4/1/07 0:00,3.95090599e-10
5/1/07 0:00,4.67013983e-10
6/1/07 0:00,5.82800197e-10
7/1/07 0:00,7.06506353e-10
8/1/07 0:00,5.83537996e-10
9/1/07 0:00,6.35544395e-10
10/1/07 0:00,4.23998059e-10
11/1/07 0:00,3.52225471e-10
12/1/07 0:00,3.41470158e-10
1/1/08 0:00,3.38683692e-10
2/1/08 0:00,3.3979447e-10
3/1/08 0:00,3.41678602e-10
4/1/08 0:00,3.71682518e-10
5/1/08 0:00,4.86895912e-10
6/1/08 0:00,9.92906979e-10
7/1/08 0:00,1.82658255e-09
8/1/08 0:00,9.3494501e-10
9/1/08 0:00,5.42649481e-10
10/1/08 0:00,4.07930106e-10
11/1/08 0:00,3.37663564e-10
12/1/08 0:00,3.96839339e-10
1/1/09 0:00,3.37907285e-10
2/1/09 0:00,3.39832162e-10
3/1/09 0:00,3.46547485e-10
4/1/09 0:00,4.07697626e-10
5/1/09 0:00,4.65265299e-10
6/1/09 0:00,5.74174264e-10
7/1/09 0:00,8.23804913e-10
8/1/09 0:00,9.42551925e-10
9/1/09 0:00,4.99762676e-10
10/1/09 0:00,4.31627623e-10
11/1/09 0:00,4.65626648e-10
12/1/09 0:00,3.62194358e-10
1/1/10 0:00,3.29962863e-10
2/1/10 0:00,3.29715061e-10
3/1/10 0:00,3.55033419e-10
4/1/10 0:00,3.79156873e-10
5/1/10 0:00,4.46419457e-10
6/1/10 0:00,5.61132307e-10
7/1/10 0:00,6.52235543e-10
8/1/10 0:00,5.50169077e-10
9/1/10 0:00,4.73256268e-10
10/1/10 0:00,4.25901925e-10
11/1/10 0:00,3.89502625e-10
12/1/10 0:00,3.23160027e-10
1/1/11 0:00,3.53025803e-10
2/1/11 0:00,3.40890038e-10
3/1/11 0:00,3.37053357e-10
4/1/11 0:00,3.97884975e-10
5/1/11 0:00,4.5534973e-10
6/1/11 0:00,5.50998802e-10
7/1/11 0:00,6.18910645e-10
8/1/11 0:00,5.48040391e-10
9/1/11 0:00,4.75022133e-10
10/1/11 0:00,4.17107932e-10
11/1/11 0:00,4.30824709e-10
12/1/11 0:00,3.40159206e-10
1/1/12 0:00,3.64255209e-10
2/1/12 0:00,3.46593337e-10
3/1/12 0:00,3.45163315e-10
4/1/12 0:00,3.82209181e-10
5/1/12 0:00,4.73862893e-10
6/1/12 0:00,5.4421706e-10
7/1/12 0:00,8.33524028e-10
8/1/12 0:00,2.39652143e-09
9/1/12 0:00,6.51503074e-10
10/1/12 0:00,3.79628662e-10
11/1/12 0:00,3.92573557e-10
12/1/12 0:00,3.37296052e-10
1/1/13 0:00,3.28675781e-10
2/1/13 0:00,3.55098229e-10
3/1/13 0:00,3.59830971e-10
4/1/13 0:00,3.83269e-10
5/1/13 0:00,4.7926535e-10
6/1/13 0:00,5.60454405e-10
7/1/13 0:00,7.09968639e-10
8/1/13 0:00,2.4111193e-09
9/1/13 0:00,8.14961765e-10
10/1/13 0:00,4.206549e-10
11/1/13 0:00,4.15901202e-10
12/1/13 0:00,3.98066274e-10
1/1/14 0:00,3.60616065e-10
2/1/14 0:00,4.11214646e-10
3/1/14 0:00,3.71205428e-10
4/1/14 0:00,3.90593974e-10
5/1/14 0:00,4.45836479e-10
6/1/14 0:00,5.45246459e-10
7/1/14 0:00,8.95285068e-10
8/1/14 0:00,1.4284095e-09
9/1/14 0:00,1.23921806e-09
10/1/14 0:00,4.115773e-10
11/1/14 0:00,3.79850151e-10
12/1/14 0:00,4.03662215e-09
1/1/15 0:00,3.34530542e-10
2/1/15 0:00,3.87738064e-10
3/1/15 0:00,3.6502662e-10
4/1/15 0:00,3.85780879e-10
5/1/15 0:00,4.42167303e-10
6/1/15 0:00,6.84940105e-10
7/1/15 0:00,7.81225584e-10
8/1/15 0:00,1.69874459e-09
9/1/15 0:00,7.10530079e-10
10/1/15 0:00,4.4479298e-10
11/1/15 0:00,4.94887853e-10
12/1/15 0:00,3.78874015e-10
1/1/16 0:00,3.250821e-10
2/1/16 0:00,3.40132422e-10
3/1/16 0:00,3.360697e-10
4/1/16 0:00,3.83445137e-10
5/1/16 0:00,4.44594889e-10
6/1/16 0:00,6.11999507e-10
7/1/16 0:00,6.67127575e-10
8/1/16 0:00,6.39513831e-10
9/1/16 0:00,6.52420951e-10
10/1/16 0:00,4.64780325e-10
11/1/16 0:00,3.79796472e-10
12/1/16 0:00,3.41894735e-10
1/1/17 0:00,3.24874266e-10
2/1/17 0:00,3.28536948e-10
3/1/17 0:00,3.4794348e-10
4/1/17 0:00,3.88605342e-10
5/1/17 0:00,4.84782492e-10
6/1/17 0:00,5.55692214e-10
7/1/17 0:00,1.07310205e-09
8/1/17 0:00,1.41656165e-09
9/1/17 0:00,1.34548572e-09
10/1/17 0:00,1.12115206e-09
11/1/17 0:00,4.41896214e-10
12/1/17 0:00,3.50563634e-10
1/1/18 0:00,3.40177109e-10
2/1/18 0:00,4.04811185e-10
3/1/18 0:00,3.45828199e-10
4/1/18 0:00,4.13915707e-10
5/1/18 0:00,4.48843074e-10
6/1/18 0:00,7.20833893e-10
7/1/18 0:00,2.06648232e-09
8/1/18 0:00,3.5878851e-09
9/1/18 0:00,9.36207001e-10
10/1/18 0:00,4.55580601e-10
11/1/18 0:00,6.94337421e-10
12/1/18 0:00,3.41113554e-10
1/1/19 0:00,3.41468437e-10
2/1/19 0:00,3.46672774e-10
3/1/19 0:00,3.42974565e-10
